csvTextData,csvAnswerData,csvTitleData
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed quis justo vel justo ultricies finibus.","English Lorem ipsum","Test Case 1"
"Извините, я не говорю по-русски.","Russian Извините","Тест случай 2"
"这是中文测试。","Chinese 测试","測試案例 3"
"Üzgünüm, Türkçe konuşmuyorum.","Turkish Üzgünüm","Test Durumu 4"
"معذرة، لا أتحدث العربية.","Arabic معذرة","حالة الاختبار 5"
"こんにちは、日本語を話しません。","Japanese こんにちは","テストケース 6"
"Συγγνώμη, δεν μιλάω ελληνικά.","Greek Συγγνώμη","Περίπτωση δοκιμής 7"
"सामग्री हिन्दी में उपलब्ध नहीं है।","Hindi सामग्री","परीक्षा मामला 8"
"미안합니다, 한국어를 못해요.","Korean 미안합니다","시험 케이스 9"
"12345","Numbers 12345","Prueba de caso 10"
"!@#$%","Symbols !@#$%","Testfall 11"
"😊","Emoji 😊","ทดสอบกรณี 12"
